Game_pk,date,Park
718250,5/9/2023,Oracle Park
718252,5/9/2023,PNC Park
718238,5/9/2023,Kauffman Stadium
718244,5/9/2023,Citizens Bank Park
718231,5/10/2023,PNC Park
718224,5/10/2023,Target Field
718227,5/10/2023,Oriole Park at Camden Yards
718226,5/10/2023,Chase Field
718225,5/10/2023,Great American Ball Park
718233,5/10/2023,Citizens Bank Park
718234,5/10/2023,Progressive Field
718222,5/10/2023,Kauffman Stadium
718229,5/10/2023,T-Mobile Park
718230,5/10/2023,Oracle Park
718232,5/10/2023,Yankee Stadium
718221,5/10/2023,Wrigley Field
718228,5/10/2023,American Family Field
718235,5/10/2023,Angel Stadium
718220,5/10/2023,Truist Park
718223,5/11/2023,Great American Ball Park
718218,5/11/2023,Kauffman Stadium
718215,5/11/2023,Chase Field
718216,5/11/2023,Target Field
718219,5/11/2023,Yankee Stadium
718217,5/11/2023,Oakland Coliseum
718214,5/12/2023,Nationals Park
718209,5/12/2023,Target Field
718200,5/12/2023,Oakland Coliseum
718210,5/12/2023,Yankee Stadium
718204,5/12/2023,American Family Field
718213,5/12/2023,Oriole Park at Camden Yards
718208,5/12/2023,Comerica Park
718207,5/12/2023,Guaranteed Rate Field
718212,5/12/2023,loanDepot park
718211,5/12/2023,Fenway Park
718205,5/12/2023,Progressive Field
718206,5/12/2023,Rogers Centre
718199,5/12/2023,Chase Field
718202,5/12/2023,Coors Field
718201,5/12/2023,Dodger Stadium
718192,5/13/2023,Rogers Centre
718203,5/13/2023,Nationals Park
718198,5/13/2023,loanDepot park
718189,5/13/2023,Guaranteed Rate Field
718195,5/13/2023,Target Field
718184,5/13/2023,Chase Field
718188,5/13/2023,Coors Field
718190,5/13/2023,Oakland Coliseum
718194,5/13/2023,Comerica Park
718191,5/13/2023,Progressive Field
718197,5/13/2023,Yankee Stadium
718193,5/13/2023,Oriole Park at Camden Yards
718196,5/13/2023,Fenway Park
718185,5/13/2023,Dodger Stadium
718183,5/13/2023,American Family Field
718181,5/14/2023,Rogers Centre
718182,5/14/2023,Progressive Field
718177,5/14/2023,American Family Field
718180,5/14/2023,Yankee Stadium
718186,5/14/2023,Nationals Park
718173,5/14/2023,Comerica Park
718175,5/14/2023,Target Field
718176,5/14/2023,Guaranteed Rate Field
718174,5/14/2023,Coors Field
718172,5/14/2023,Oakland Coliseum
718179,5/14/2023,Oriole Park at Camden Yards
718178,5/14/2023,loanDepot park
718168,5/14/2023,Dodger Stadium
718169,5/14/2023,Chase Field
718203,5/14/2023,Nationals Park
718187,5/14/2023,Fenway Park
718170,5/15/2023,Oracle Park
718159,5/15/2023,Dodger Stadium
718167,5/15/2023,Nationals Park
718160,5/15/2023,Oakland Coliseum
718164,5/15/2023,Rogers Centre
718165,5/15/2023,Globe Life Field
718158,5/15/2023,Minute Maid Park
718161,5/15/2023,Coors Field
718163,5/15/2023,Fenway Park
718171,5/15/2023,Oriole Park at Camden Yards
718166,5/15/2023,Busch Stadium
718162,5/15/2023,Petco Park
718145,5/16/2023,Coors Field
718144,5/16/2023,Petco Park
718146,5/16/2023,Oakland Coliseum
718149,5/16/2023,Fenway Park
718141,5/16/2023,Dodger Stadium
718148,5/16/2023,Globe Life Field
718151,5/16/2023,Busch Stadium
718152,5/16/2023,Minute Maid Park
718155,5/16/2023,Comerica Park
718150,5/16/2023,Citi Field
718154,5/16/2023,Oriole Park at Camden Yards
718153,5/16/2023,loanDepot park
718156,5/16/2023,Oracle Park
718147,5/16/2023,Guaranteed Rate Field
718157,5/16/2023,Rogers Centre
718131,5/17/2023,Busch Stadium
718140,5/17/2023,Petco Park
718129,5/17/2023,Guaranteed Rate Field
718133,5/17/2023,Fenway Park
718127,5/17/2023,Minute Maid Park
718132,5/17/2023,loanDepot park
718138,5/17/2023,Coors Field
718139,5/17/2023,Oakland Coliseum
718137,5/17/2023,Oriole Park at Camden Yards
718136,5/17/2023,Dodger Stadium
718134,5/17/2023,Rogers Centre
718126,5/17/2023,Globe Life Field
718135,5/17/2023,Citi Field
718142,5/17/2023,Comerica Park
718143,5/17/2023,Oracle Park
718125,5/18/2023,Guaranteed Rate Field
718121,5/18/2023,Rogers Centre
718128,5/18/2023,Oriole Park at Camden Yards
718130,5/18/2023,loanDepot park
718122,5/18/2023,Citi Field
718124,5/18/2023,Busch Stadium
718111,5/19/2023,Guaranteed Rate Field
718110,5/19/2023,Truist Park
718115,5/19/2023,Rogers Centre
718106,5/19/2023,Angel Stadium
718119,5/19/2023,Citi Field
718123,5/19/2023,Nationals Park
718120,5/19/2023,Great American Ball Park
718113,5/19/2023,Busch Stadium
718112,5/19/2023,Minute Maid Park
718117,5/19/2023,Tropicana Field
718116,5/19/2023,Citizens Bank Park
718105,5/19/2023,Oracle Park
718107,5/19/2023,Petco Park
718118,5/19/2023,PNC Park
718114,5/19/2023,Globe Life Field
718108,5/20/2023,Nationals Park
718093,5/20/2023,Tropicana Field
718102,5/20/2023,Rogers Centre
718103,5/20/2023,Oracle Park
718097,5/20/2023,Citizens Bank Park
718094,5/20/2023,Truist Park
718098,5/20/2023,Minute Maid Park
718104,5/20/2023,Guaranteed Rate Field
718092,5/20/2023,Petco Park
718099,5/20/2023,Citi Field
718100,5/20/2023,Globe Life Field
718109,5/20/2023,Busch Stadium
718095,5/20/2023,Great American Ball Park
718101,5/20/2023,PNC Park
718096,5/20/2023,Angel Stadium
718081,5/21/2023,Tropicana Field
718076,5/21/2023,Globe Life Field
718086,5/21/2023,Minute Maid Park
718085,5/21/2023,Great American Ball Park
718079,5/21/2023,Petco Park
718099,5/21/2023,Citi Field
718090,5/21/2023,Truist Park
718084,5/21/2023,Guaranteed Rate Field
718091,5/21/2023,PNC Park
718088,5/21/2023,Citizens Bank Park
718078,5/21/2023,Oracle Park
718083,5/21/2023,Busch Stadium
718080,5/21/2023,Angel Stadium
718089,5/21/2023,Nationals Park
718082,5/21/2023,Citi Field
718087,5/21/2023,Rogers Centre
718072,5/22/2023,Progressive Field
718068,5/22/2023,American Family Field
718062,5/22/2023,T-Mobile Park
718077,5/22/2023,Tropicana Field
718070,5/22/2023,Angel Stadium
718073,5/22/2023,Citizens Bank Park
718069,5/22/2023,Coors Field
718066,5/22/2023,Kauffman Stadium
718074,5/22/2023,Truist Park
718075,5/22/2023,PNC Park
718071,5/22/2023,Great American Ball Park
718067,5/22/2023,Target Field
718059,5/23/2023,Great American Ball Park
718056,5/23/2023,American Family Field
718064,5/23/2023,Nationals Park
718055,5/23/2023,Wrigley Field
718065,5/23/2023,PNC Park
718051,5/23/2023,Coors Field
718050,5/23/2023,T-Mobile Park
718049,5/23/2023,Kauffman Stadium
718060,5/23/2023,Citizens Bank Park
718063,5/23/2023,Progressive Field
718057,5/23/2023,Truist Park
718053,5/23/2023,Angel Stadium
718061,5/23/2023,Tropicana Field
718054,5/23/2023,Target Field
718058,5/23/2023,Yankee Stadium
718043,5/24/2023,Citizens Bank Park
718048,5/24/2023,Progressive Field
718036,5/24/2023,Coors Field
718042,5/24/2023,Truist Park
718034,5/24/2023,Angel Stadium
718040,5/24/2023,Yankee Stadium
718039,5/24/2023,Kauffman Stadium
718044,5/24/2023,Tropicana Field
718041,5/24/2023,Great American Ball Park
718037,5/24/2023,T-Mobile Park
718038,5/24/2023,Wrigley Field
718052,5/24/2023,Nationals Park
718046,5/24/2023,American Family Field
718045,5/24/2023,PNC Park
718047,5/24/2023,Target Field
718030,5/25/2023,Great American Ball Park
718035,5/25/2023,Nationals Park
718033,5/25/2023,Coors Field
718032,5/25/2023,Tropicana Field
718028,5/25/2023,American Family Field
718031,5/25/2023,Comerica Park
718029,5/25/2023,Yankee Stadium
718024,5/25/2023,Wrigley Field
718026,5/25/2023,Truist Park
718025,5/25/2023,T-Mobile Park
718020,5/26/2023,Oriole Park at Camden Yards
718014,5/26/2023,Kauffman Stadium
718015,5/26/2023,Angel Stadium
718018,5/26/2023,Tropicana Field
718013,5/26/2023,Target Field
718009,5/26/2023,Oakland Coliseum
718012,5/26/2023,T-Mobile Park
718016,5/26/2023,Coors Field
718022,5/26/2023,Progressive Field
718023,5/26/2023,Yankee Stadium
718021,5/26/2023,Comerica Park
718017,5/26/2023,American Family Field
718010,5/26/2023,Chase Field
718027,5/26/2023,Wrigley Field
718019,5/26/2023,Truist Park
718000,5/27/2023,Kauffman Stadium
718011,5/27/2023,Coors Field
718007,5/27/2023,Wrigley Field
717996,5/27/2023,Progressive Field
717991,5/27/2023,Chase Field
718008,5/27/2023,Target Field
717998,5/27/2023,Angel Stadium
718001,5/27/2023,Oriole Park at Camden Yards
718004,5/27/2023,T-Mobile Park
718005,5/27/2023,Comerica Park
718003,5/27/2023,Oakland Coliseum
718006,5/27/2023,Yankee Stadium
717997,5/27/2023,Truist Park
718002,5/27/2023,Tropicana Field
717999,5/27/2023,American Family Field
717995,5/28/2023,Yankee Stadium
717993,5/28/2023,Progressive Field
717981,5/28/2023,Chase Field
717985,5/28/2023,Kauffman Stadium
717984,5/28/2023,Angel Stadium
717987,5/28/2023,Wrigley Field
717992,5/28/2023,Truist Park
717986,5/28/2023,American Family Field
717990,5/28/2023,Oriole Park at Camden Yards
717989,5/28/2023,Comerica Park
717983,5/28/2023,T-Mobile Park
717988,5/28/2023,Target Field
717982,5/28/2023,Coors Field
717994,5/28/2023,Tropicana Field
717980,5/28/2023,Oakland Coliseum
717968,5/29/2023,Minute Maid Park
717974,5/29/2023,Oriole Park at Camden Yards
717976,5/29/2023,Wrigley Field
717978,5/29/2023,Oracle Park
717975,5/29/2023,Busch Stadium
717979,5/29/2023,Comerica Park
717973,5/29/2023,Dodger Stadium
717971,5/29/2023,Guaranteed Rate Field
717977,5/29/2023,Chase Field
717970,5/29/2023,Oakland Coliseum
717969,5/29/2023,T-Mobile Park
717958,5/30/2023,Oakland Coliseum
717972,5/30/2023,Oracle Park
717961,5/30/2023,Wrigley Field
717964,5/30/2023,Comerica Park
717966,5/30/2023,Fenway Park
717967,5/30/2023,Oriole Park at Camden Yards
717962,5/30/2023,Citi Field
717952,5/30/2023,T-Mobile Park
717963,5/30/2023,loanDepot park
717965,5/30/2023,Rogers Centre
717956,5/30/2023,Minute Maid Park
717959,5/30/2023,Guaranteed Rate Field
717955,5/30/2023,Chase Field
717957,5/30/2023,Dodger Stadium
717960,5/30/2023,Busch Stadium
717953,5/31/2023,Oracle Park
717944,5/31/2023,Citi Field
717948,5/31/2023,Fenway Park
717949,5/31/2023,Oakland Coliseum
717951,5/31/2023,Comerica Park
717945,5/31/2023,loanDepot park
717946,5/31/2023,Oriole Park at Camden Yards
717950,5/31/2023,Wrigley Field
717943,5/31/2023,Guaranteed Rate Field
717940,5/31/2023,Chase Field
717939,5/31/2023,T-Mobile Park
717947,5/31/2023,Rogers Centre
717954,5/31/2023,Dodger Stadium
717938,5/31/2023,Minute Maid Park
717942,6/1/2023,Rogers Centre
717932,6/1/2023,Fenway Park
717936,6/1/2023,Minute Maid Park
717937,6/1/2023,Target Field
717941,6/1/2023,loanDepot park
717934,6/1/2023,Citi Field
717933,6/1/2023,Chase Field
717920,6/2/2023,Oracle Park
717930,6/2/2023,PNC Park
717919,6/2/2023,Chase Field
717935,6/2/2023,Nationals Park
717931,6/2/2023,Great American Ball Park
717928,6/2/2023,Fenway Park
717917,6/2/2023,Dodger Stadium
717929,6/2/2023,Citi Field
717921,6/2/2023,Petco Park
717923,6/2/2023,Kauffman Stadium
717922,6/2/2023,Globe Life Field
717927,6/2/2023,loanDepot park
717926,6/2/2023,Minute Maid Park
717924,6/2/2023,Target Field
717925,6/2/2023,Guaranteed Rate Field
717915,6/3/2023,Guaranteed Rate Field
717918,6/3/2023,Fenway Park
717910,6/3/2023,Citi Field
717911,6/3/2023,loanDepot park
717903,6/3/2023,Petco Park
717885,6/3/2023,Fenway Park
717908,6/3/2023,Minute Maid Park
717916,6/3/2023,Oracle Park
717905,6/3/2023,Dodger Stadium
717909,6/3/2023,Kauffman Stadium
717901,6/3/2023,Chase Field
717907,6/3/2023,PNC Park
717906,6/3/2023,Great American Ball Park
717912,6/3/2023,Globe Life Field
717914,6/3/2023,Nationals Park
717913,6/3/2023,Target Field
717893,6/4/2023,Kauffman Stadium
717891,6/4/2023,Guaranteed Rate Field
717900,6/4/2023,Citi Field
717894,6/4/2023,Globe Life Field
717889,6/4/2023,Petco Park
717895,6/4/2023,Target Field
717899,6/4/2023,Minute Maid Park
717904,6/4/2023,Fenway Park
717902,6/4/2023,Nationals Park
717892,6/4/2023,Chase Field
717896,6/4/2023,loanDepot park
717888,6/4/2023,Dodger Stadium
717890,6/4/2023,Oracle Park
717898,6/4/2023,PNC Park
717897,6/4/2023,Great American Ball Park
717883,6/5/2023,Great American Ball Park
717887,6/5/2023,loanDepot park
717928,6/5/2023,Fenway Park
717879,6/5/2023,Globe Life Field
717886,6/5/2023,Citizens Bank Park
717878,6/5/2023,Rogers Centre
717884,6/5/2023,PNC Park
717880,6/5/2023,Petco Park
717875,6/6/2023,Citizens Bank Park
717874,6/6/2023,PNC Park
717881,6/6/2023,Nationals Park
717867,6/6/2023,American Family Field
717870,6/6/2023,Great American Ball Park
717871,6/6/2023,Rogers Centre
717872,6/6/2023,Truist Park
717868,6/6/2023,Globe Life Field
717864,6/6/2023,Petco Park
717882,6/6/2023,Tropicana Field
717873,6/6/2023,Progressive Field
717861,6/6/2023,Angel Stadium
717869,6/6/2023,Coors Field
